analysis_set,query_gene_count,gene_set,term,pathway,reactome_id,overlap,p_value,adjusted_p_value,odds_ratio,combined_score,overlap_genes,significant
all_passing,282,Reactome_2022.gmt,G0 And Early G1 R-HSA-1538133,G0 And Early G1,R-HSA-1538133,4/27,0.005510501693909047,0.4128215566312827,7.0025975018144315,36.42120712472272,CCNE1;CCNE2;CDC25A;PCNA,False
all_passing,282,Reactome_2022.gmt,TP53 Regulates Transcription Of Genes Involved In G1 Cell Cycle Arrest R-HSA-6804116,TP53 Regulates Transcription Of Genes Involved In G1 Cell Cycle Arrest,R-HSA-6804116,3/14,0.00561661981811269,0.4128215566312827,11.102978921988022,57.53591714478336,CCNE1;CCNE2;CDKN1A,False
all_passing,282,Reactome_2022.gmt,Interconversion Of Nucleotide Di- And Triphosphates R-HSA-499943,Interconversion Of Nucleotide Di- And Triphosphates,R-HSA-499943,4/28,0.006295296514818701,0.4271116558515457,6.716117685853516,34.03696547922807,AK4;CTPS1;GLRX;RRM2B,False
all_passing,282,Reactome_2022.gmt,Cyclin D Associated Events In G1 R-HSA-69231,Cyclin D Associated Events In G1,R-HSA-69231,5/47,0.008266319747212529,0.5076067810969991,4.74066772655008,22.734184404606278,CCNE1;CCNE2;CDKN1A;CDKN1C;CDKN2B,False
all_passing,282,Reactome_2022.gmt,FOXO-mediated Transcription Of Cell Cycle Genes R-HSA-9617828,FOXO-mediated Transcription Of Cell Cycle Genes,R-HSA-9617828,3/17,0.009886439484920467,0.5076067810969991,8.803220035778175,40.640868235137035,CCNG2;CDKN1A;SMAD3,False
all_passing,282,Reactome_2022.gmt,Chondroitin Sulfate/Dermatan Sulfate Metabolism R-HSA-1793185,Chondroitin Sulfate/Dermatan Sulfate Metabolism,R-HSA-1793185,5/50,0.01069978931323978,0.5076067810969991,4.426789426789427,20.08669526410089,B3GALT6;CHPF2;IDUA;SDC1;XYLT1,False
all_passing,282,Reactome_2022.gmt,Metabolism Of Lipids R-HSA-556833,Metabolism Of Lipids,R-HSA-556833,30/732,0.013501318109195715,0.5076067810969991,1.6344328952468201,7.036181247765055,ACER2;AHRR;ANGPTL4;ARSA;ARSD;ARSJ;CYP1A1;CYP1B1;DECR2;FA2H;FADS2;FASN;FDXR;FHL2;GPAT3;HILPDA;INPP5D;INSIG1;INSIG2;MBOAT1;NR1D1;PI4K2A;PIK3R3;PLEKHA2;PRKAA2;SCD;SGMS2;SH2D3C;SLC44A5;TNFRSF21,False
all_passing,282,Reactome_2022.gmt,Neurofascin Interactions R-HSA-447043,Neurofascin Interactions,R-HSA-447043,2/7,0.013833160190443753,0.5076067810969991,16.532976827094473,70.77249330167732,ANK1;CNTNAP1,False
all_passing,282,Reactome_2022.gmt,RUNX3 Regulates CDKN1A Transcription R-HSA-8941855,RUNX3 Regulates CDKN1A Transcription,R-HSA-8941855,2/7,0.013833160190443753,0.5076067810969991,16.532976827094473,70.77249330167732,CDKN1A;SMAD3,False
all_passing,282,Reactome_2022.gmt,Release Of Apoptotic Factors From Mitochondria R-HSA-111457,Release Of Apoptotic Factors From Mitochondria,R-HSA-111457,2/7,0.013833160190443753,0.5076067810969991,16.532976827094473,70.77249330167732,BAX;GSDME,False
all_passing,282,Reactome_2022.gmt,Aberrant Regulation Of Mitotic Cell Cycle Due To RB1 Defects R-HSA-9687139,Aberrant Regulation Of Mitotic Cell Cycle Due To RB1 Defects,R-HSA-9687139,4/36,0.015321091376086914,0.5076067810969991,5.058942135064218,21.138915570556588,CCNE1;CCNE2;CDKN1A;CDKN1C,False
all_passing,282,Reactome_2022.gmt,Transcriptional Regulation By AP-2 (TFAP2) Family Of Transcription Factors R-HSA-8864260,Transcriptional Regulation By AP-2 (TFAP2) Family Of Transcription Factors,R-HSA-8864260,4/36,0.015321091376086914,0.5076067810969991,5.058942135064218,21.138915570556588,CDKN1A;KCTD1;TGFA;WWOX,False
all_passing,282,Reactome_2022.gmt,Syndecan Interactions R-HSA-3000170,Syndecan Interactions,R-HSA-3000170,3/20,0.015620754163671419,0.5076067810969991,7.291949910554561,30.328348864229287,ITGA2;SDC1;THBS1,False
all_passing,282,Reactome_2022.gmt,TP53 Regulates Transcription Of Genes Involved In Cytochrome C Release R-HSA-6803204,TP53 Regulates Transcription Of Genes Involved In Cytochrome C Release,R-HSA-6803204,3/20,0.015620754163671419,0.5076067810969991,7.291949910554561,30.328348864229287,BAX;TP53INP1;TRIAP1,False
all_passing,282,Reactome_2022.gmt,Diseases Of Metabolism R-HSA-5668914,Diseases Of Metabolism,R-HSA-5668914,13/247,0.01606231435172159,0.5076067810969991,2.130491196284678,8.801654549308838,ADAMTS7;B3GALT6;CSF2RA;CYP1B1;DOLK;FDXR;GBE1;GYS1;IDUA;MUC19;OPLAH;SDC1;THBS1,False
all_passing,282,Reactome_2022.gmt,TP53 Regulates Transcription Of Additional Cell Cycle Genes With Uncertain Roles In P53 Pathway R-HSA-6804115,TP53 Regulates Transcription Of Additional Cell Cycle Genes With Uncertain Roles In P53 Pathway,R-HSA-6804115,3/21,0.01786879568452417,0.5076067810969991,6.897113571532176,27.758808475290795,BTG2;PLK2;RGCC,False
all_passing,282,Reactome_2022.gmt,Binding Of TCF/LEF:CTNNB1 To Target Gene Promoters R-HSA-4411364,Binding Of TCF/LEF:CTNNB1 To Target Gene Promoters,R-HSA-4411364,2/8,0.018119540864079808,0.5076067810969991,13.988070752776634,56.10285504331794,TCF7;TCF7L1,False
all_passing,282,Reactome_2022.gmt,Formation Of Editosome R-HSA-75094,Formation Of Editosome,R-HSA-75094,2/8,0.018119540864079808,0.5076067810969991,13.988070752776634,56.10285504331794,APOBEC3C;APOBEC3H,False
all_passing,282,Reactome_2022.gmt,Inhibition Of Signaling By Overexpressed EGFR R-HSA-5638303,Inhibition Of Signaling By Overexpressed EGFR,R-HSA-5638303,2/8,0.018119540864079808,0.5076067810969991,13.988070752776634,56.10285504331794,BTC;TGFA,False
all_passing,282,Reactome_2022.gmt,RUNX3 Regulates WNT Signaling R-HSA-8951430,RUNX3 Regulates WNT Signaling,R-HSA-8951430,2/8,0.018119540864079808,0.5076067810969991,13.988070752776634,56.10285504331794,TCF7;TCF7L1,False
all_passing,282,Reactome_2022.gmt,Synthesis Of Epoxy (EET) And Dihydroxyeicosatrienoic Acids (DHET) R-HSA-2142670,Synthesis Of Epoxy (EET) And Dihydroxyeicosatrienoic Acids (DHET),R-HSA-2142670,2/8,0.018119540864079808,0.5076067810969991,13.988070752776634,56.10285504331794,CYP1A1;CYP1B1,False
all_passing,282,Reactome_2022.gmt,Diseases Of Mitotic Cell Cycle R-HSA-9675126,Diseases Of Mitotic Cell Cycle,R-HSA-9675126,4/38,0.018416572556807224,0.5076067810969991,4.764733432206698,19.032748361042536,CCNE1;CCNE2;CDKN1A;CDKN1C,False
all_passing,282,Reactome_2022.gmt,EGFR Interacts With Phospholipase C-gamma R-HSA-212718,EGFR Interacts With Phospholipase C-gamma,R-HSA-212718,2/9,0.022887392268854313,0.5706687169162643,12.121806298276887,45.78611189485582,BTC;TGFA,False
all_passing,282,Reactome_2022.gmt,NR1H2 And NR1H3 Regulate Gene Expression Linked To Lipogenesis R-HSA-9029558,NR1H2 And NR1H3 Regulate Gene Expression Linked To Lipogenesis,R-HSA-9029558,2/9,0.022887392268854313,0.5706687169162643,12.121806298276887,45.78611189485582,FASN;SCD,False
all_passing,282,Reactome_2022.gmt,Synthesis Of (16-20)-Hydroxyeicosatetraenoic Acids (HETE) R-HSA-2142816,Synthesis Of (16-20)-Hydroxyeicosatetraenoic Acids (HETE),R-HSA-2142816,2/9,0.022887392268854313,0.5706687169162643,12.121806298276887,45.78611189485582,CYP1A1;CYP1B1,False
all_passing,282,Reactome_2022.gmt,Estrogen-dependent Nuclear Events Downstream Of ESR-membrane Signaling R-HSA-9634638,Estrogen-dependent Nuclear Events Downstream Of ESR-membrane Signaling,R-HSA-9634638,3/24,0.025637034686177694,0.5706687169162643,5.932978325082165,21.7367553626591,BTC;FOS;TGFA,False
all_passing,282,Reactome_2022.gmt,"Gamma Carboxylation, Hypusine Formation And Arylsulfatase Activation R-HSA-163841","Gamma Carboxylation, Hypusine Formation And Arylsulfatase Activation",R-HSA-163841,4/42,0.02570247385967297,0.5706687169162643,4.268017440369325,15.625929015184044,ARSA;ARSD;ARSJ;GAS6,False
all_passing,282,Reactome_2022.gmt,"Transport Of Vitamins, Nucleosides, And Related Molecules R-HSA-425397","Transport Of Vitamins, Nucleosides, And Related Molecules",R-HSA-425397,4/43,0.02775832257708748,0.5706687169162643,4.159557302911165,14.908766692067518,SLC27A4;SLC29A3;SLC33A1;SLCO4A1,False
all_passing,282,Reactome_2022.gmt,Crosslinking Of Collagen Fibrils R-HSA-2243919,Crosslinking Of Collagen Fibrils,R-HSA-2243919,2/10,0.028107916588490524,0.5706687169162643,10.694662891894726,38.19817037072514,LOXL4;PCOLCE,False
all_passing,282,Reactome_2022.gmt,Negative Regulation Of Activity Of TFAP2 (AP-2) Family Transcription Factors R-HSA-8866904,Negative Regulation Of Activity Of TFAP2 (AP-2) Family Transcription Factors,R-HSA-8866904,2/10,0.028107916588490524,0.5706687169162643,10.694662891894726,38.19817037072514,KCTD1;WWOX,False
all_passing,282,Reactome_2022.gmt,mRNA Editing R-HSA-75072,mRNA Editing,R-HSA-75072,2/10,0.028107916588490524,0.5706687169162643,10.694662891894726,38.19817037072514,APOBEC3C;APOBEC3H,False
all_passing,282,Reactome_2022.gmt,Interleukin-2 Family Signaling R-HSA-451927,Interleukin-2 Family Signaling,R-HSA-451927,4/44,0.029909544096383963,0.5706687169162643,4.056453221623778,14.236437560708007,CSF2RA;INPP5D;PIK3R3;SYK,False
all_passing,282,Reactome_2022.gmt,"Interleukin-3, Interleukin-5 And GM-CSF Signaling R-HSA-512988","Interleukin-3, Interleukin-5 And GM-CSF Signaling",R-HSA-512988,4/44,0.029909544096383963,0.5706687169162643,4.056453221623778,14.236437560708007,CSF2RA;INPP5D;PIK3R3;SYK,False
all_passing,282,Reactome_2022.gmt,TGF-beta Receptor Signaling Activates SMADs R-HSA-2173789,TGF-beta Receptor Signaling Activates SMADs,R-HSA-2173789,4/44,0.029909544096383963,0.5706687169162643,4.056453221623778,14.236437560708007,ITGB8;PPP1R15A;SMAD3;SMAD7,False
all_passing,282,Reactome_2022.gmt,Downregulation Of TGF-beta Receptor Signaling R-HSA-2173788,Downregulation Of TGF-beta Receptor Signaling,R-HSA-2173788,3/26,0.03166907888660292,0.5706687169162643,5.4269782666615916,18.736178478460314,PPP1R15A;SMAD3;SMAD7,False
all_passing,282,Reactome_2022.gmt,GAG Synthesis Requires Tetrasaccharide Linker Sequence R-HSA-1971475,GAG Synthesis Requires Tetrasaccharide Linker Sequence,R-HSA-1971475,3/26,0.03166907888660292,0.5706687169162643,5.4269782666615916,18.736178478460314,B3GALT6;SDC1;XYLT1,False
all_passing,282,Reactome_2022.gmt,Synthesis Of IP3 And IP4 In Cytosol R-HSA-1855204,Synthesis Of IP3 And IP4 In Cytosol,R-HSA-1855204,3/26,0.03166907888660292,0.5706687169162643,5.4269782666615916,18.736178478460314,INPP5D;ITPKA;PLCE1,False
all_passing,282,Reactome_2022.gmt,Sphingolipid Metabolism R-HSA-428157,Sphingolipid Metabolism,R-HSA-428157,6/89,0.03249098899927183,0.5706687169162643,2.850396855475306,9.76771853686876,ACER2;ARSA;ARSD;ARSJ;FA2H;SGMS2,False
all_passing,282,Reactome_2022.gmt,Pyrimidine Salvage R-HSA-73614,Pyrimidine Salvage,R-HSA-73614,2/11,0.03375350697942793,0.5706687169162643,9.567970728961441,32.42270452245122,CDA;UPP1,False
all_passing,282,Reactome_2022.gmt,Collagen Biosynthesis And Modifying Enzymes R-HSA-1650814,Collagen Biosynthesis And Modifying Enzymes,R-HSA-1650814,5/67,0.03384668564964819,0.5706687169162643,3.217311711711712,10.893541401756158,COL17A1;COL4A5;P4HA2;PCOLCE;PLOD1,False
all_passing,282,Reactome_2022.gmt,Collagen Formation R-HSA-1474290,Collagen Formation,R-HSA-1474290,6/90,0.03405887001552245,0.5706687169162643,2.8163861455000694,9.518441064485726,COL17A1;COL4A5;LOXL4;P4HA2;PCOLCE;PLOD1,False
all_passing,282,Reactome_2022.gmt,SLC-mediated Transmembrane Transport R-HSA-425407,SLC-mediated Transmembrane Transport,R-HSA-425407,12/247,0.03480186204032848,0.5706687169162643,1.9568425224970665,6.571242322081193,SLC15A2;SLC1A1;SLC20A2;SLC27A4;SLC29A3;SLC2A3;SLC2A6;SLC33A1;SLC36A1;SLC44A5;SLC7A6;SLCO4A1,False
all_passing,282,Reactome_2022.gmt,Endogenous Sterols R-HSA-211976,Endogenous Sterols,R-HSA-211976,3/27,0.034938901035689654,0.5706687169162643,5.204957832864809,17.458232360941395,AHRR;CYP1B1;FDXR,False
all_passing,282,Reactome_2022.gmt,Interleukin Receptor SHC Signaling R-HSA-912526,Interleukin Receptor SHC Signaling,R-HSA-912526,3/27,0.034938901035689654,0.5706687169162643,5.204957832864809,17.458232360941395,CSF2RA;INPP5D;PIK3R3,False
all_passing,282,Reactome_2022.gmt,Generic Transcription Pathway R-HSA-212436,Generic Transcription Pathway,R-HSA-212436,42/1190,0.038873039901048796,0.6051995786175806,1.393949624250016,4.526787743498714,BAX;BTG2;CCNE1;CCNE2;CCNG2;CDKN1A;CDKN2B;DDB2;DDIT3;FASN;FOS;IGFBP3;KCTD1;NR1D1;PCNA;PLK2;PRKAA2;PRMT6;RGCC;RRM2B;SLC2A3;SMAD3;SMAD7;SOCS4;TAF9B;TCF7;TCF7L1;TGFA;THBS1;TIGAR;TNFRSF10C;TP53I3;TP53INP1;TRIAP1;WWOX;ZNF160;ZNF425;ZNF484;ZNF584;ZNF627;ZNF699;ZNF786,False
all_passing,282,Reactome_2022.gmt,Inositol Phosphate Metabolism R-HSA-1483249,Inositol Phosphate Metabolism,R-HSA-1483249,4/48,0.03947806896255234,0.6051995786175806,3.6903758094123815,11.927331436385758,INPP1;INPP5D;ITPKA;PLCE1,False
all_passing,282,Reactome_2022.gmt,GRB2 Events In EGFR Signaling R-HSA-179812,GRB2 Events In EGFR Signaling,R-HSA-179812,2/12,0.03979770471634883,0.6051995786175806,8.655886597063068,27.906111306888306,BTC;TGFA,False
all_passing,282,Reactome_2022.gmt,Reversible Hydration Of Carbon Dioxide R-HSA-1475029,Reversible Hydration Of Carbon Dioxide,R-HSA-1475029,2/12,0.03979770471634883,0.6051995786175806,8.655886597063068,27.906111306888306,CA12;CA2,False
all_passing,282,Reactome_2022.gmt,G1/S-Specific Transcription R-HSA-69205,G1/S-Specific Transcription,R-HSA-69205,3/29,0.04197904420204194,0.6275511353593388,4.811185742734668,15.254272062507193,CCNE1;CDC25A;PCNA,False
all_passing,282,Reactome_2022.gmt,Glycosaminoglycan Metabolism R-HSA-1630316,Glycosaminoglycan Metabolism,R-HSA-1630316,7/120,0.042924210928789085,0.6309859006531995,2.4211885478545216,7.622674525010498,B3GALT6;B3GNT4;CHPF2;HAS3;IDUA;SDC1;XYLT1,False
all_passing,282,Reactome_2022.gmt,Glycogen Synthesis R-HSA-3322077,Glycogen Synthesis,R-HSA-3322077,2/13,0.04621515776832065,0.6470122087564891,7.902425792451368,24.295592782801908,GBE1;GYS1,False
all_passing,282,Reactome_2022.gmt,Mitochondrial Iron-Sulfur Cluster Biogenesis R-HSA-1362409,Mitochondrial Iron-Sulfur Cluster Biogenesis,R-HSA-1362409,2/13,0.04621515776832065,0.6470122087564891,7.902425792451368,24.295592782801908,FDXR;ISCU,False
all_passing,282,Reactome_2022.gmt,SHC1 Events In EGFR Signaling R-HSA-180336,SHC1 Events In EGFR Signaling,R-HSA-180336,2/13,0.04621515776832065,0.6470122087564891,7.902425792451368,24.295592782801908,BTC;TGFA,False
all_passing,282,Reactome_2022.gmt,Synthesis Of PIPs At Plasma Membrane R-HSA-1660499,Synthesis Of PIPs At Plasma Membrane,R-HSA-1660499,4/51,0.04767257677705823,0.6569876987088338,3.4562789379193046,10.518835713888043,INPP5D;PI4K2A;PIK3R3;PLEKHA2,False
all_passing,282,Reactome_2022.gmt,Extracellular Matrix Organization R-HSA-1474244,Extracellular Matrix Organization,R-HSA-1474244,13/291,0.05067656807338371,0.6876420467803759,1.7859824197346639,5.3263204456259015,COL17A1;COL4A5;FBN1;ITGA2;ITGB8;KLK7;LOXL4;P4HA2;PCOLCE;PLOD1;SDC1;SH3PXD2A;THBS1,False
all_passing,282,Reactome_2022.gmt,Lysosphingolipid And LPA Receptors R-HSA-419408,Lysosphingolipid And LPA Receptors,R-HSA-419408,2/14,0.05298158076002194,0.6954762762298394,7.26951871657754,21.356471749769604,LPAR1;LPAR3,False
all_passing,282,Reactome_2022.gmt,Repression Of WNT Target Genes R-HSA-4641265,Repression Of WNT Target Genes,R-HSA-4641265,2/14,0.05298158076002194,0.6954762762298394,7.26951871657754,21.356471749769604,TCF7;TCF7L1,False
all_passing,282,Reactome_2022.gmt,Heparan Sulfate/Heparin (HS-GAG) Metabolism R-HSA-1638091,Heparan Sulfate/Heparin (HS-GAG) Metabolism,R-HSA-1638091,4/53,0.05361948614923932,0.6954762762298394,3.3159784560143626,9.702031456417606,B3GALT6;IDUA;SDC1;XYLT1,False
all_passing,282,Reactome_2022.gmt,Diseases Of Carbohydrate Metabolism R-HSA-5663084,Diseases Of Carbohydrate Metabolism,R-HSA-5663084,3/33,0.05800340439346948,0.7258221610082254,4.178568286460013,11.897443486652808,GBE1;GYS1;IDUA,False
all_passing,282,Reactome_2022.gmt,Plasma Lipoprotein Remodeling R-HSA-8963899,Plasma Lipoprotein Remodeling,R-HSA-8963899,3/33,0.05800340439346948,0.7258221610082254,4.178568286460013,11.897443486652808,ANGPTL4;LCAT;TRNP1,False
all_passing,282,Reactome_2022.gmt,Regulation Of Cholesterol Biosynthesis By SREBP (SREBF) R-HSA-1655829,Regulation Of Cholesterol Biosynthesis By SREBP (SREBF),R-HSA-1655829,4/55,0.05995020712797249,0.7258221610082254,3.1865750989175714,8.967790109732881,FASN;INSIG1;INSIG2;SCD,False
all_passing,282,Reactome_2022.gmt,Glycogen Storage Diseases R-HSA-3229121,Glycogen Storage Diseases,R-HSA-3229121,2/15,0.06007371627392342,0.7258221610082254,6.7303756519442794,18.927047092238627,GBE1;GYS1,False
all_passing,282,Reactome_2022.gmt,Response Of EIF2AK1 (HRI) To Heme Deficiency R-HSA-9648895,Response Of EIF2AK1 (HRI) To Heme Deficiency,R-HSA-9648895,2/15,0.06007371627392342,0.7258221610082254,6.7303756519442794,18.927047092238627,DDIT3;PPP1R15A,False
all_passing,282,Reactome_2022.gmt,Metabolic Disorders Of Biological Oxidation Enzymes R-HSA-5579029,Metabolic Disorders Of Biological Oxidation Enzymes,R-HSA-5579029,3/34,0.062399609990172925,0.743735892045034,4.045517789703836,11.223060296811989,CYP1B1;FDXR;OPLAH,False
all_passing,282,Reactome_2022.gmt,Post-translational Protein Phosphorylation R-HSA-8957275,Post-translational Protein Phosphorylation,R-HSA-8957275,6/106,0.06590161591376457,0.7628054377021192,2.3642636725954316,6.429833319541522,FBN1;GAS6;IGFBP3;QSOX1;SCG2;WFS1,False
all_passing,282,Reactome_2022.gmt,CRMPs In Sema3A Signaling R-HSA-399956,CRMPs In Sema3A Signaling,R-HSA-399956,2/16,0.06746929745065129,0.7628054377021192,6.265597147950089,16.892567682048828,DPYSL4;NRP1,False
all_passing,282,Reactome_2022.gmt,Rap1 Signaling R-HSA-392517,Rap1 Signaling,R-HSA-392517,2/16,0.06746929745065129,0.7628054377021192,6.265597147950089,16.892567682048828,RAP1GAP;RAPGEF4,False
all_passing,282,Reactome_2022.gmt,Translesion Synthesis By REV1 R-HSA-110312,Translesion Synthesis By REV1,R-HSA-110312,2/16,0.06746929745065129,0.7628054377021192,6.265597147950089,16.892567682048828,PCNA;REV3L,False
all_passing,282,Reactome_2022.gmt,O-linked Glycosylation R-HSA-5173105,O-linked Glycosylation,R-HSA-5173105,6/107,0.06832384305948687,0.7628054377021192,2.34073882717644,6.281364403826196,ADAMTS7;B3GNT4;B3GNT9;GALNT5;MUC19;THBS1,False
all_passing,282,Reactome_2022.gmt,SMAD2/SMAD3:SMAD4 Heterotrimer Regulates Transcription R-HSA-2173796,SMAD2/SMAD3:SMAD4 Heterotrimer Regulates Transcription,R-HSA-2173796,3/36,0.07163909706507375,0.7753053670898571,3.803246735909006,10.025793128449546,CDKN2B;SMAD3;SMAD7,False
all_passing,282,Reactome_2022.gmt,O-linked Glycosylation Of Mucins R-HSA-913709,O-linked Glycosylation Of Mucins,R-HSA-913709,4/59,0.07374318539327489,0.7753053670898571,2.9557474889611335,7.706126395729497,B3GNT4;B3GNT9;GALNT5;MUC19,False
all_passing,282,Reactome_2022.gmt,GAB1 Signalosome R-HSA-180292,GAB1 Signalosome,R-HSA-180292,2/17,0.07514701184608208,0.7753053670898571,5.860790063826117,15.169535236204533,BTC;TGFA,False
all_passing,282,Reactome_2022.gmt,Gastrulation R-HSA-9758941,Gastrulation,R-HSA-9758941,2/17,0.07514701184608208,0.7753053670898571,5.860790063826117,15.169535236204533,SMAD3;TCF7,False
all_passing,282,Reactome_2022.gmt,Translesion Synthesis By POLI R-HSA-5656121,Translesion Synthesis By POLI,R-HSA-5656121,2/17,0.07514701184608208,0.7753053670898571,5.860790063826117,15.169535236204533,PCNA;REV3L,False
all_passing,282,Reactome_2022.gmt,Translesion Synthesis By POLK R-HSA-5655862,Translesion Synthesis By POLK,R-HSA-5655862,2/17,0.07514701184608208,0.7753053670898571,5.860790063826117,15.169535236204533,PCNA;REV3L,False
all_passing,282,Reactome_2022.gmt,Early SARS-CoV-2 Infection Events R-HSA-9772572,Early SARS-CoV-2 Infection Events,R-HSA-9772572,3/37,0.07647569947484985,0.7753053670898571,3.692644733089627,9.49298550782043,ISCU;NRP1;SDC1,False
all_passing,282,Reactome_2022.gmt,NCAM1 Interactions R-HSA-419037,NCAM1 Interactions,R-HSA-419037,3/37,0.07647569947484985,0.7753053670898571,3.692644733089627,9.49298550782043,CACNB1;CACNB4;COL4A5,False
all_passing,282,Reactome_2022.gmt,Regulation Of Signaling By CBL R-HSA-912631,Regulation Of Signaling By CBL,R-HSA-912631,2/18,0.0830864665049934,0.7986740927742527,5.505050505050505,13.695868983207944,PIK3R3;SYK,False
all_passing,282,Reactome_2022.gmt,Synthesis Of Glycosylphosphatidylinositol (GPI) R-HSA-162710,Synthesis Of Glycosylphosphatidylinositol (GPI),R-HSA-162710,2/18,0.0830864665049934,0.7986740927742527,5.505050505050505,13.695868983207944,PIGQ;PIGX,False
all_passing,282,Reactome_2022.gmt,TP53 Regulates Transcription Of Genes Involved In G2 Cell Cycle Arrest R-HSA-6804114,TP53 Regulates Transcription Of Genes Involved In G2 Cell Cycle Arrest,R-HSA-6804114,2/18,0.0830864665049934,0.7986740927742527,5.505050505050505,13.695868983207944,BAX;PCNA,False
all_passing,282,Reactome_2022.gmt,Metabolism Of Carbohydrates R-HSA-71387,Metabolism Of Carbohydrates,R-HSA-71387,12/285,0.08335859984866328,0.7986740927742527,1.6785389640012571,4.170503780747124,B3GALT6;B3GNT4;CHPF2;FUT11;GBE1;GYS1;HAS3;IDUA;PGM2L1;SDC1;SLC37A2;XYLT1,False
all_passing,282,Reactome_2022.gmt,Elastic Fibre Formation R-HSA-1566948,Elastic Fibre Formation,R-HSA-1566948,3/39,0.08656493139103223,0.7986740927742527,3.48962187859926,8.538617916265922,FBN1;ITGB8;LOXL4,False
all_passing,282,Reactome_2022.gmt,NGF-stimulated Transcription R-HSA-9031628,NGF-stimulated Transcription,R-HSA-9031628,3/39,0.08656493139103223,0.7986740927742527,3.48962187859926,8.538617916265922,ARC;F3;FOS,False
