organ_a,organ_b,swap_score,rank,evidence_type
Cloaca,Stomach,1.252714595758,1,promoter-marker coherence gain; leave-one-marker-locus-out stability
Brain,Heart,-0.922717044154,42,promoter-marker coherence gain; leave-one-marker-locus-out stability
Spleen,Stomach,-0.985103451264,43,promoter-marker coherence gain; leave-one-marker-locus-out stability
Brain,Limb,-1.003861096545,44,promoter-marker coherence gain; leave-one-marker-locus-out stability
Kidney,Spleen,-1.057304348284,45,promoter-marker coherence gain; leave-one-marker-locus-out stability
Limb,Prostate,-1.073786340147,46,promoter-marker coherence gain; leave-one-marker-locus-out stability
Intestine,Kidney,-1.102342344015,47,promoter-marker coherence gain; leave-one-marker-locus-out stability
Heart,Prostate,-1.142270998637,48,promoter-marker coherence gain; leave-one-marker-locus-out stability
Cloaca,Intestine,-1.184169120755,49,promoter-marker coherence gain; leave-one-marker-locus-out stability
Brain,Gill,-1.215815095925,50,promoter-marker coherence gain; leave-one-marker-locus-out stability
Bladder,Intestine,-1.217231509214,51,promoter-marker coherence gain; leave-one-marker-locus-out stability
Heart,Spleen,-1.228184178151,52,promoter-marker coherence gain; leave-one-marker-locus-out stability
GallBladder,Spleen,-1.292513099036,53,promoter-marker coherence gain; leave-one-marker-locus-out stability
Heart,Intestine,-1.300832921166,54,promoter-marker coherence gain; leave-one-marker-locus-out stability
Bladder,Spleen,-1.368212710213,55,promoter-marker coherence gain; leave-one-marker-locus-out stability
Intestine,Limb,-1.445533181306,56,promoter-marker coherence gain; leave-one-marker-locus-out stability
Liver,Stomach,-1.451060751703,57,promoter-marker coherence gain; leave-one-marker-locus-out stability
Limb,Spleen,-1.472262996396,58,promoter-marker coherence gain; leave-one-marker-locus-out stability
Cloaca,Spleen,-1.541749093854,59,promoter-marker coherence gain; leave-one-marker-locus-out stability
Gill,Intestine,-1.583138447099,60,promoter-marker coherence gain; leave-one-marker-locus-out stability
Brain,Intestine,-1.626387866368,61,promoter-marker coherence gain; leave-one-marker-locus-out stability
Brain,Prostate,-1.650505458514,62,promoter-marker coherence gain; leave-one-marker-locus-out stability
GallBladder,Liver,-1.668586374582,63,promoter-marker coherence gain; leave-one-marker-locus-out stability
Prostate,Spleen,-1.680716088063,64,promoter-marker coherence gain; leave-one-marker-locus-out stability
Gill,Spleen,-1.724230618509,65,promoter-marker coherence gain; leave-one-marker-locus-out stability
Brain,Spleen,-1.759835585265,66,promoter-marker coherence gain; leave-one-marker-locus-out stability
Kidney,Liver,-1.868713658242,67,promoter-marker coherence gain; leave-one-marker-locus-out stability
Intestine,Prostate,-1.874612025575,68,promoter-marker coherence gain; leave-one-marker-locus-out stability
Cloaca,Liver,-1.952932083495,69,promoter-marker coherence gain; leave-one-marker-locus-out stability
Pancreas,Stomach,-2.003486605582,70,promoter-marker coherence gain; leave-one-marker-locus-out stability
Heart,Liver,-2.106076408480,71,promoter-marker coherence gain; leave-one-marker-locus-out stability
Bladder,Liver,-2.157975353666,72,promoter-marker coherence gain; leave-one-marker-locus-out stability
Intestine,Liver,-2.169412902151,73,promoter-marker coherence gain; leave-one-marker-locus-out stability
GallBladder,Pancreas,-2.183175771992,74,promoter-marker coherence gain; leave-one-marker-locus-out stability
Lung,Stomach,-2.238975128038,75,promoter-marker coherence gain; leave-one-marker-locus-out stability
Kidney,Pancreas,-2.241689964128,76,promoter-marker coherence gain; leave-one-marker-locus-out stability
Cloaca,Pancreas,-2.358276991312,77,promoter-marker coherence gain; leave-one-marker-locus-out stability
Intestine,Spleen,-2.359994262864,78,promoter-marker coherence gain; leave-one-marker-locus-out stability
Limb,Liver,-2.378180704889,79,promoter-marker coherence gain; leave-one-marker-locus-out stability
GallBladder,Lung,-2.391090473214,80,promoter-marker coherence gain; leave-one-marker-locus-out stability
Bladder,Pancreas,-2.483205518159,81,promoter-marker coherence gain; leave-one-marker-locus-out stability
Gill,Liver,-2.493727050771,82,promoter-marker coherence gain; leave-one-marker-locus-out stability
Limb,Lung,-2.519919281555,83,promoter-marker coherence gain; leave-one-marker-locus-out stability
Heart,Pancreas,-2.523506556019,84,promoter-marker coherence gain; leave-one-marker-locus-out stability
Brain,Liver,-2.550903405467,85,promoter-marker coherence gain; leave-one-marker-locus-out stability
Gill,Lung,-2.566651310150,86,promoter-marker coherence gain; leave-one-marker-locus-out stability
Cloaca,Lung,-2.567346774515,87,promoter-marker coherence gain; leave-one-marker-locus-out stability
Liver,Spleen,-2.618737243705,88,promoter-marker coherence gain; leave-one-marker-locus-out stability
Kidney,Lung,-2.700872421664,89,promoter-marker coherence gain; leave-one-marker-locus-out stability
Limb,Pancreas,-2.758316883376,90,promoter-marker coherence gain; leave-one-marker-locus-out stability
Brain,Pancreas,-2.777632334628,91,promoter-marker coherence gain; leave-one-marker-locus-out stability
Liver,Prostate,-2.867208846428,92,promoter-marker coherence gain; leave-one-marker-locus-out stability
Bladder,Lung,-2.922462129348,93,promoter-marker coherence gain; leave-one-marker-locus-out stability
Brain,Lung,-2.984538329773,94,promoter-marker coherence gain; leave-one-marker-locus-out stability
Gill,Pancreas,-3.066620266394,95,promoter-marker coherence gain; leave-one-marker-locus-out stability
Heart,Lung,-3.140450388511,96,promoter-marker coherence gain; leave-one-marker-locus-out stability
Lung,Prostate,-3.161564855549,97,promoter-marker coherence gain; leave-one-marker-locus-out stability
Pancreas,Prostate,-3.169153865937,98,promoter-marker coherence gain; leave-one-marker-locus-out stability
Intestine,Pancreas,-3.232410211629,99,promoter-marker coherence gain; leave-one-marker-locus-out stability
Pancreas,Spleen,-3.380410848733,100,promoter-marker coherence gain; leave-one-marker-locus-out stability
Intestine,Lung,-3.483320290604,101,promoter-marker coherence gain; leave-one-marker-locus-out stability
Lung,Spleen,-3.561548720744,102,promoter-marker coherence gain; leave-one-marker-locus-out stability
Liver,Pancreas,-3.897854950403,103,promoter-marker coherence gain; leave-one-marker-locus-out stability
Liver,Lung,-4.398007060877,104,promoter-marker coherence gain; leave-one-marker-locus-out stability
Lung,Pancreas,-4.757503925154,105,promoter-marker coherence gain; leave-one-marker-locus-out stability
