cell_id,n_timepoints,mean_distance_nm,contact_fraction,transcription_fraction
96,250,518.663464,0.072,0.152
97,250,516.337355,0.08,0.14
98,250,522.049823,0.068,0.14
99,250,526.684223,0.064,0.14
100,250,540.512669,0.052,0.14
101,250,537.177971,0.036,0.164
102,250,520.861663,0.06,0.124
103,250,506.58696,0.08,0.168
104,250,519.974863,0.04,0.18
105,250,510.663703,0.08,0.16
106,250,524.019488,0.08,0.152
107,250,529.965277,0.044,0.16
108,250,542.561507,0.036,0.128
109,250,513.378926,0.08,0.112
110,250,512.267151,0.044,0.168
111,250,529.285966,0.044,0.152
112,250,536.407454,0.04,0.152
113,250,532.726524,0.052,0.14
114,250,527.541761,0.032,0.148
115,250,546.809443,0.024,0.132
116,250,526.498603,0.04,0.196
117,250,534.051341,0.072,0.128
118,250,540.878066,0.032,0.18
119,250,527.665555,0.036,0.168
120,250,521.077121,0.096,0.188
121,250,526.08426,0.06,0.132
122,250,538.691158,0.04,0.172
123,250,511.31915,0.064,0.14
124,250,521.631589,0.044,0.172
125,250,537.106132,0.036,0.12
126,250,520.744947,0.076,0.124
127,250,529.427274,0.044,0.136
128,250,515.538289,0.084,0.136
129,250,516.647002,0.064,0.168
130,250,522.629281,0.06,0.132
131,250,532.019165,0.056,0.184
132,250,512.989248,0.064,0.148
133,250,533.433641,0.04,0.124
134,250,514.031982,0.064,0.188
135,250,505.661757,0.072,0.176
136,250,525.843347,0.064,0.184
137,250,533.128379,0.052,0.136
138,250,538.448385,0.044,0.14
139,250,529.819625,0.036,0.132
140,250,519.865728,0.06,0.148
141,250,525.999461,0.06,0.12
142,250,544.157018,0.024,0.136
143,250,520.077547,0.056,0.152
144,250,504.81386,0.068,0.112
145,250,540.490941,0.048,0.164
146,250,510.471003,0.076,0.16
147,250,542.078145,0.044,0.196
148,250,530.277683,0.044,0.224
149,250,525.674353,0.056,0.184
150,250,521.453677,0.056,0.164
151,250,541.343638,0.028,0.164
152,250,522.278706,0.08,0.168
153,250,516.948088,0.052,0.148
154,250,523.296112,0.068,0.152
155,250,529.64082,0.032,0.164
156,250,526.040978,0.04,0.144
157,250,518.955078,0.056,0.172
158,250,529.295278,0.032,0.176
159,250,536.63001,0.04,0.196
160,250,522.488475,0.036,0.176
161,250,536.921058,0.056,0.208
162,250,523.148017,0.04,0.164
163,250,537.552755,0.024,0.164
164,250,527.792049,0.036,0.168
165,250,547.288621,0.02,0.152
166,250,529.264288,0.048,0.148
167,250,560.24558,0.036,0.144
168,250,534.380089,0.04,0.14
169,250,522.834038,0.052,0.132
170,250,525.822824,0.06,0.152
171,250,519.366869,0.064,0.164
172,250,515.397457,0.06,0.136
173,250,526.247918,0.04,0.148
174,250,522.15805,0.06,0.16
175,250,524.702445,0.048,0.168
176,250,527.800507,0.044,0.128
177,250,537.85708,0.04,0.148
178,250,529.15618,0.064,0.204
179,250,513.764929,0.052,0.168
180,250,521.840008,0.052,0.156
181,250,512.719795,0.056,0.132
182,250,526.981545,0.036,0.156
183,250,531.182019,0.064,0.124
184,250,540.6224,0.028,0.16
185,250,515.4997,0.064,0.152
186,250,540.068317,0.02,0.128
187,250,525.441876,0.048,0.144
188,250,524.721596,0.028,0.18
189,250,532.332449,0.024,0.136
190,250,534.574948,0.06,0.12
191,250,526.525105,0.056,0.152
192,250,527.474243,0.06,0.152
193,250,524.379418,0.032,0.164
194,250,530.141542,0.04,0.152
195,250,519.920638,0.088,0.176
196,250,520.239503,0.044,0.14
197,250,519.727842,0.064,0.1
198,250,532.699251,0.048,0.188
199,250,532.123277,0.044,0.168
200,250,529.129459,0.048,0.192
201,250,536.464741,0.056,0.172
202,250,522.231788,0.084,0.16
203,250,527.577239,0.04,0.136
204,250,525.091282,0.056,0.14
205,250,534.708521,0.028,0.196
206,250,516.937259,0.056,0.156
207,250,528.163047,0.06,0.16
208,250,521.626415,0.056,0.116
209,250,537.287087,0.052,0.224
210,250,521.691182,0.06,0.108
211,250,523.378603,0.044,0.188
212,250,517.476698,0.06,0.156
213,250,524.620221,0.044,0.156
214,250,512.605215,0.064,0.108
215,250,516.700154,0.036,0.124
216,250,514.273052,0.056,0.192
217,250,527.920205,0.052,0.136
218,250,534.394936,0.064,0.124
219,250,526.92105,0.048,0.116
220,250,512.702685,0.036,0.152
221,250,535.00256,0.04,0.196
222,250,525.95675,0.072,0.132
223,250,532.314899,0.064,0.184
224,250,535.261816,0.048,0.184
225,250,538.174508,0.04,0.144
226,250,521.556395,0.048,0.172
227,250,524.124698,0.052,0.168
228,250,525.330943,0.032,0.124
229,250,523.50619,0.076,0.144
230,250,531.32686,0.052,0.132
231,250,539.617775,0.044,0.124
232,250,528.234774,0.048,0.156
233,250,527.141995,0.056,0.156
234,250,524.682516,0.06,0.132
235,250,525.705154,0.06,0.164
236,250,526.445848,0.052,0.156
237,250,536.23001,0.032,0.184
238,250,530.353338,0.044,0.184
239,250,524.896563,0.06,0.192
240,250,529.977811,0.076,0.108
241,250,524.462287,0.068,0.136
242,250,506.15243,0.056,0.16
243,250,542.851214,0.04,0.172
244,250,535.911799,0.024,0.152
245,250,512.187246,0.032,0.16
246,250,536.334709,0.06,0.172
247,250,522.962884,0.056,0.148
248,250,507.527198,0.092,0.172
249,250,536.747098,0.032,0.148
250,250,524.891189,0.048,0.156
251,250,518.32604,0.064,0.192
252,250,520.067964,0.048,0.132
253,250,528.716781,0.028,0.136
254,250,528.662422,0.052,0.18
255,250,533.543374,0.04,0.18
256,250,526.109045,0.036,0.16
257,250,526.979852,0.06,0.136
258,250,523.583104,0.056,0.156
259,250,519.283699,0.056,0.148
260,250,516.382371,0.056,0.168
261,250,511.004313,0.056,0.156
262,250,530.273424,0.048,0.184
263,250,520.960752,0.052,0.136
264,250,530.328491,0.068,0.128
265,250,530.777596,0.032,0.168
266,250,531.844814,0.056,0.148
267,250,527.983774,0.06,0.112
268,250,519.747449,0.056,0.12
269,250,525.311837,0.032,0.172
270,250,539.626804,0.052,0.16
271,250,531.447626,0.052,0.14
272,250,528.806344,0.052,0.192
273,250,534.673156,0.032,0.14
274,250,519.9946,0.044,0.172
275,250,540.230615,0.036,0.148
276,250,526.644375,0.052,0.172
277,250,520.854858,0.06,0.116
278,250,541.77234,0.052,0.136
279,250,529.961678,0.032,0.12
280,250,534.537883,0.068,0.136
281,250,538.312989,0.04,0.136
282,250,516.104076,0.044,0.112
283,250,528.113423,0.044,0.196
284,250,513.252735,0.088,0.172
285,250,536.893618,0.06,0.156
286,250,532.662909,0.032,0.144
287,250,548.376854,0.04,0.168
288,250,539.785796,0.032,0.14
289,250,530.527589,0.068,0.128
290,250,531.802154,0.052,0.112
291,250,525.906569,0.06,0.148
292,250,534.859287,0.028,0.128
293,250,520.509125,0.052,0.156
294,250,530.711568,0.052,0.144
295,250,533.107393,0.044,0.172
296,250,511.178082,0.08,0.14
297,250,524.205798,0.068,0.156
298,250,524.779283,0.064,0.124
299,250,509.657706,0.072,0.136
300,250,514.03256,0.084,0.148
301,250,523.957986,0.06,0.136
302,250,525.510052,0.068,0.18
303,250,531.161364,0.052,0.156
304,250,524.465233,0.048,0.164
305,250,516.748763,0.044,0.148
306,250,535.18446,0.028,0.124
307,250,538.188957,0.04,0.136
308,250,523.242875,0.064,0.18
309,250,531.084272,0.04,0.208
310,250,540.257323,0.048,0.176
311,250,529.462679,0.04,0.156
312,250,531.809011,0.056,0.156
313,250,525.756254,0.056,0.144
314,250,529.381281,0.044,0.148
315,250,532.867939,0.06,0.18
316,250,542.755423,0.06,0.176
317,250,538.862231,0.024,0.128
318,250,522.277948,0.052,0.176
319,250,528.518965,0.068,0.132
320,250,529.314189,0.032,0.18
321,250,520.227819,0.064,0.16
322,250,532.798559,0.056,0.136
323,250,516.690184,0.08,0.16
324,250,520.329828,0.028,0.152
325,250,522.322397,0.06,0.152
326,250,530.651838,0.032,0.16
327,250,527.767725,0.04,0.152
328,250,532.853903,0.044,0.164
329,250,529.707415,0.048,0.136
330,250,522.717119,0.052,0.144
331,250,514.608452,0.068,0.16
332,250,540.618989,0.04,0.14
333,250,520.319217,0.068,0.172
334,250,531.094858,0.064,0.128
335,250,535.075932,0.06,0.14
336,250,511.298441,0.06,0.148
337,250,524.83843,0.06,0.208
338,250,519.803726,0.052,0.148
339,250,521.798246,0.076,0.188
340,250,526.644588,0.04,0.164
341,250,527.202561,0.052,0.108
342,250,533.151824,0.032,0.172
343,250,519.139848,0.048,0.128
344,250,526.464269,0.056,0.164
345,250,525.996587,0.048,0.128
346,250,535.943336,0.06,0.156
347,250,516.303772,0.072,0.124
348,250,502.008575,0.096,0.116
349,250,530.865378,0.048,0.108
350,250,540.036882,0.036,0.148
351,250,526.293469,0.048,0.18
352,250,514.173974,0.048,0.156
353,250,530.858662,0.064,0.2
354,250,542.899994,0.044,0.148
355,250,518.053754,0.08,0.156
356,250,536.418436,0.036,0.172
357,250,530.867222,0.06,0.148
358,250,529.736522,0.044,0.18
359,250,520.476218,0.044,0.14
360,250,519.095005,0.052,0.176
361,250,529.419316,0.032,0.16
362,250,524.365734,0.068,0.168
363,250,522.233871,0.06,0.132
364,250,503.798491,0.068,0.132
365,250,529.298368,0.052,0.168
366,250,529.819991,0.044,0.208
367,250,497.683108,0.084,0.148
368,250,529.562627,0.064,0.144
369,250,523.138144,0.056,0.164
370,250,518.903645,0.084,0.192
371,250,531.490287,0.056,0.136
372,250,520.746256,0.08,0.196
373,250,540.757748,0.02,0.124
374,250,513.145014,0.076,0.172
375,250,533.009322,0.052,0.188
376,250,524.779111,0.068,0.18
377,250,520.566241,0.068,0.156
378,250,526.011419,0.068,0.136
379,250,527.612602,0.044,0.16
380,250,533.32622,0.056,0.116
381,250,527.249384,0.044,0.136
382,250,525.222709,0.044,0.152
383,250,505.134355,0.08,0.144
384,250,531.118832,0.048,0.168
385,250,500.706823,0.08,0.144
386,250,517.326286,0.068,0.116
387,250,519.262133,0.064,0.168
388,250,535.574645,0.052,0.164
389,250,515.930023,0.056,0.16
390,250,514.287469,0.092,0.128
391,250,523.974532,0.044,0.1
392,250,521.596589,0.048,0.152
393,250,523.265614,0.064,0.144
394,250,528.738854,0.04,0.14
395,250,532.550709,0.064,0.172
396,250,525.773053,0.052,0.156
397,250,520.509429,0.04,0.128
398,250,506.732342,0.076,0.168
399,250,533.150682,0.048,0.116
400,250,511.824817,0.084,0.16
401,250,526.944074,0.048,0.14
402,250,533.955922,0.044,0.136
403,250,534.056406,0.044,0.168
404,250,542.444858,0.04,0.136
405,250,517.698976,0.044,0.144
406,250,522.695299,0.032,0.152
407,250,532.371007,0.036,0.144
408,250,520.100105,0.048,0.164
409,250,540.271741,0.04,0.148
410,250,511.69409,0.048,0.176
411,250,520.487269,0.06,0.12
412,250,518.066326,0.068,0.144
413,250,519.907835,0.052,0.164
414,250,499.898903,0.072,0.14
415,250,521.693936,0.04,0.128
416,250,519.620073,0.06,0.16
417,250,536.130031,0.048,0.16
418,250,524.918453,0.056,0.112
419,250,524.026478,0.032,0.12
420,250,527.722086,0.056,0.176
421,250,520.187284,0.048,0.148
422,250,525.588,0.048,0.136
423,250,532.365739,0.052,0.156
424,250,519.444413,0.064,0.188
425,250,538.222474,0.028,0.144
426,250,518.550379,0.068,0.204
427,250,532.150702,0.056,0.172
428,250,538.078048,0.02,0.18
429,250,533.987819,0.032,0.172
430,250,542.411579,0.052,0.16
431,250,519.436785,0.048,0.14
432,250,514.872022,0.08,0.148
433,250,523.629291,0.056,0.184
434,250,523.07062,0.068,0.124
435,250,521.056851,0.032,0.14
436,250,512.561441,0.048,0.172
437,250,522.181035,0.068,0.144
438,250,534.633102,0.04,0.188
439,250,531.07479,0.048,0.12
440,250,520.986773,0.044,0.144
441,250,525.889321,0.068,0.164
442,250,509.637249,0.076,0.184
443,250,522.58618,0.048,0.128
444,250,513.487451,0.04,0.156
445,250,526.187225,0.06,0.132
446,250,525.791913,0.068,0.148
447,250,527.518496,0.036,0.156
448,250,531.772415,0.052,0.16
449,250,526.644936,0.064,0.18
450,250,537.7602,0.048,0.136
451,250,525.383432,0.044,0.148
452,250,523.66908,0.068,0.208
453,250,526.815629,0.04,0.164
454,250,541.350024,0.032,0.144
455,250,517.449291,0.056,0.164
456,250,528.622325,0.068,0.18
457,250,536.973252,0.048,0.188
458,250,518.63559,0.072,0.212
459,250,525.367664,0.044,0.196
460,250,519.834163,0.048,0.14
461,250,512.672986,0.096,0.136
462,250,520.085499,0.048,0.192
463,250,535.728521,0.036,0.188
464,250,506.595117,0.06,0.16
465,250,521.593312,0.04,0.16
466,250,531.825268,0.044,0.168
467,250,524.544342,0.068,0.156
468,250,520.30554,0.04,0.18
469,250,523.669674,0.096,0.16
470,250,536.844705,0.044,0.108
471,250,525.959758,0.04,0.12
472,250,523.962809,0.06,0.156
473,250,531.144656,0.052,0.14
474,250,534.393089,0.044,0.156
475,250,511.13493,0.072,0.104
476,250,524.187223,0.056,0.184
477,250,518.167586,0.044,0.148
478,250,523.973614,0.052,0.152
479,250,529.036586,0.076,0.16
480,250,528.279866,0.036,0.164
481,250,518.279308,0.088,0.168
482,250,513.435855,0.076,0.176
483,250,528.571826,0.056,0.128
484,250,545.663248,0.048,0.156
485,250,523.038945,0.064,0.144
486,250,528.428295,0.064,0.112
487,250,511.752521,0.076,0.168
488,250,532.273858,0.036,0.18
489,250,524.852892,0.04,0.212
490,250,518.730781,0.064,0.148
491,250,513.765956,0.072,0.196
492,250,525.958958,0.056,0.156
493,250,529.13381,0.048,0.172
494,250,543.961231,0.016,0.156
495,250,540.778452,0.04,0.16
496,250,529.547022,0.036,0.128
497,250,529.030754,0.056,0.14
498,250,535.2885,0.048,0.156
499,250,512.983658,0.08,0.128
500,250,519.580854,0.06,0.152
501,250,514.551332,0.052,0.148
502,250,528.067745,0.052,0.152
503,250,524.862265,0.052,0.164
504,250,531.11878,0.044,0.128
505,250,520.043941,0.08,0.128
506,250,520.5791,0.052,0.144
507,250,514.560181,0.06,0.136
508,250,524.747429,0.06,0.12
509,250,522.388406,0.064,0.152
510,250,521.556909,0.072,0.176
511,250,525.214456,0.044,0.188
512,250,535.256311,0.036,0.172
513,250,509.913234,0.092,0.132
514,250,511.998586,0.036,0.172
515,250,528.056769,0.052,0.196
516,250,536.958173,0.056,0.172
517,250,530.761792,0.032,0.116
518,250,525.723869,0.044,0.14
519,250,519.024874,0.044,0.14
520,250,536.991901,0.06,0.132
521,250,513.160996,0.068,0.148
522,250,523.930306,0.064,0.172
523,250,530.884603,0.056,0.176
524,250,528.01497,0.044,0.124
525,250,523.689244,0.056,0.132
526,250,538.098908,0.06,0.112
527,250,528.615441,0.048,0.16
528,250,525.764603,0.064,0.156
529,250,537.06101,0.04,0.152
530,250,532.001333,0.048,0.148
531,250,533.13085,0.056,0.156
532,250,530.668964,0.04,0.148
533,250,552.219039,0.036,0.172
534,250,532.0475,0.048,0.184
535,250,518.595717,0.084,0.176
536,250,519.049262,0.064,0.164
537,250,523.12052,0.052,0.156
538,250,537.969883,0.02,0.16
539,250,521.731419,0.04,0.18
540,250,509.59886,0.08,0.18
541,250,525.877994,0.06,0.164
542,250,541.009859,0.036,0.176
543,250,524.47276,0.052,0.152
544,250,523.953542,0.06,0.172
545,250,526.897231,0.052,0.144
546,250,516.410411,0.052,0.156
547,250,522.589385,0.036,0.176
548,250,548.77741,0.016,0.156
549,250,511.707588,0.08,0.156
550,250,526.133449,0.064,0.188
551,250,515.677596,0.068,0.172
552,250,516.635225,0.044,0.108
553,250,527.455324,0.064,0.164
554,250,535.839009,0.04,0.208
555,250,524.479136,0.04,0.124
556,250,524.879503,0.064,0.176
557,250,522.394892,0.052,0.168
558,250,532.008811,0.048,0.136
559,250,504.121519,0.076,0.152
560,250,518.387288,0.06,0.168
561,250,532.829627,0.048,0.176
562,250,525.065867,0.04,0.16
563,250,530.478437,0.056,0.132
564,250,515.939562,0.068,0.144
565,250,529.42172,0.064,0.128
566,250,522.90943,0.04,0.156
567,250,526.566625,0.06,0.168
568,250,519.270379,0.068,0.136
569,250,520.723526,0.06,0.172
570,250,523.494009,0.048,0.176
571,250,529.188344,0.04,0.124
572,250,523.816292,0.048,0.148
573,250,526.874872,0.068,0.152
574,250,528.878276,0.032,0.176
575,250,527.531528,0.076,0.156
576,250,531.360358,0.044,0.14
577,250,529.020326,0.06,0.18
578,250,537.239779,0.032,0.152
579,250,527.298284,0.048,0.176
580,250,522.035126,0.068,0.144
581,250,532.103791,0.04,0.16
582,250,524.671908,0.044,0.208
583,250,529.616501,0.028,0.176
584,250,536.785975,0.04,0.152
585,250,525.386607,0.052,0.136
586,250,523.748372,0.052,0.136
587,250,532.07951,0.06,0.132
588,250,539.556885,0.032,0.144
589,250,530.545965,0.04,0.132
590,250,530.211626,0.056,0.156
591,250,522.693623,0.056,0.128
592,250,522.224097,0.072,0.168
593,250,518.700395,0.04,0.108
594,250,537.54599,0.028,0.164
595,250,530.62929,0.056,0.124
596,250,530.182493,0.052,0.168
597,250,512.15431,0.052,0.136
598,250,518.093534,0.06,0.164
599,250,528.579454,0.044,0.14
