organ_a,organ_b,swap_score,rank,evidence_type
Pancreas,Stomach,-1.3301,28,promoter_accessibility+organ_marker_coherence
GallBladder,Lung,-1.352,29,promoter_accessibility+organ_marker_coherence
Brain,Cloaca,-1.4094,30,promoter_accessibility+organ_marker_coherence
Kidney,Prostate,-1.4417,31,promoter_accessibility+organ_marker_coherence
GallBladder,Limb,-1.4491,32,promoter_accessibility+organ_marker_coherence
GallBladder,Gill,-1.5066,33,promoter_accessibility+organ_marker_coherence
Gill,Lung,-1.5242,34,promoter_accessibility+organ_marker_coherence
Heart,Prostate,-1.5384,35,promoter_accessibility+organ_marker_coherence
Brain,Heart,-1.5522,36,promoter_accessibility+organ_marker_coherence
Brain,Stomach,-1.5534,37,promoter_accessibility+organ_marker_coherence
Bladder,Lung,-1.6312,38,promoter_accessibility+organ_marker_coherence
Kidney,Limb,-1.6321,39,promoter_accessibility+organ_marker_coherence
Brain,Limb,-1.671,40,promoter_accessibility+organ_marker_coherence
Cloaca,Gill,-1.7187,41,promoter_accessibility+organ_marker_coherence
GallBladder,Intestine,-1.7351,42,promoter_accessibility+organ_marker_coherence
Cloaca,Prostate,-1.7666,43,promoter_accessibility+organ_marker_coherence
Cloaca,Pancreas,-1.7992,44,promoter_accessibility+organ_marker_coherence
Bladder,Brain,-1.8132,45,promoter_accessibility+organ_marker_coherence
Cloaca,Kidney,-1.8236,46,promoter_accessibility+organ_marker_coherence
Spleen,Stomach,-1.8314,47,promoter_accessibility+organ_marker_coherence
Intestine,Limb,-1.8477,48,promoter_accessibility+organ_marker_coherence
GallBladder,Prostate,-1.9472,49,promoter_accessibility+organ_marker_coherence
GallBladder,Liver,-1.9663,50,promoter_accessibility+organ_marker_coherence
Limb,Liver,-2.0561,51,promoter_accessibility+organ_marker_coherence
Brain,Lung,-2.0726,52,promoter_accessibility+organ_marker_coherence
Brain,Prostate,-2.0915,53,promoter_accessibility+organ_marker_coherence
Heart,Kidney,-2.0999,54,promoter_accessibility+organ_marker_coherence
GallBladder,Pancreas,-2.1393,55,promoter_accessibility+organ_marker_coherence
Bladder,Heart,-2.1479,56,promoter_accessibility+organ_marker_coherence
Lung,Prostate,-2.1482,57,promoter_accessibility+organ_marker_coherence
Cloaca,Spleen,-2.15,58,promoter_accessibility+organ_marker_coherence
Kidney,Lung,-2.2164,59,promoter_accessibility+organ_marker_coherence
Kidney,Liver,-2.2208,60,promoter_accessibility+organ_marker_coherence
Liver,Lung,-2.2737,61,promoter_accessibility+organ_marker_coherence
GallBladder,Kidney,-2.276,62,promoter_accessibility+organ_marker_coherence
Gill,Prostate,-2.2885,63,promoter_accessibility+organ_marker_coherence
Heart,Spleen,-2.3003,64,promoter_accessibility+organ_marker_coherence
Intestine,Liver,-2.3049,65,promoter_accessibility+organ_marker_coherence
Limb,Spleen,-2.374,66,promoter_accessibility+organ_marker_coherence
Heart,Intestine,-2.4078,67,promoter_accessibility+organ_marker_coherence
Liver,Spleen,-2.5101,68,promoter_accessibility+organ_marker_coherence
Brain,Kidney,-2.5585,69,promoter_accessibility+organ_marker_coherence
Bladder,Liver,-2.6544,70,promoter_accessibility+organ_marker_coherence
Bladder,Intestine,-2.6617,71,promoter_accessibility+organ_marker_coherence
Limb,Pancreas,-2.6805,72,promoter_accessibility+organ_marker_coherence
Bladder,Kidney,-2.7014,73,promoter_accessibility+organ_marker_coherence
Bladder,Pancreas,-2.7145,74,promoter_accessibility+organ_marker_coherence
Intestine,Kidney,-2.7218,75,promoter_accessibility+organ_marker_coherence
Lung,Pancreas,-2.722,76,promoter_accessibility+organ_marker_coherence
Brain,GallBladder,-2.7275,77,promoter_accessibility+organ_marker_coherence
Gill,Liver,-2.7798,78,promoter_accessibility+organ_marker_coherence
Heart,Liver,-2.7945,79,promoter_accessibility+organ_marker_coherence
Heart,Pancreas,-2.806,80,promoter_accessibility+organ_marker_coherence
Prostate,Spleen,-2.8124,81,promoter_accessibility+organ_marker_coherence
GallBladder,Heart,-2.825,82,promoter_accessibility+organ_marker_coherence
Gill,Intestine,-2.8293,83,promoter_accessibility+organ_marker_coherence
Lung,Spleen,-2.8343,84,promoter_accessibility+organ_marker_coherence
Liver,Prostate,-2.8682,85,promoter_accessibility+organ_marker_coherence
Brain,Gill,-2.8884,86,promoter_accessibility+organ_marker_coherence
Liver,Pancreas,-2.898,87,promoter_accessibility+organ_marker_coherence
Intestine,Prostate,-2.8994,88,promoter_accessibility+organ_marker_coherence
Gill,Heart,-2.9082,89,promoter_accessibility+organ_marker_coherence
Brain,Intestine,-2.9353,90,promoter_accessibility+organ_marker_coherence
Intestine,Pancreas,-2.9836,91,promoter_accessibility+organ_marker_coherence
Kidney,Pancreas,-3.0478,92,promoter_accessibility+organ_marker_coherence
Brain,Spleen,-3.0923,93,promoter_accessibility+organ_marker_coherence
Pancreas,Prostate,-3.1567,94,promoter_accessibility+organ_marker_coherence
Intestine,Lung,-3.2088,95,promoter_accessibility+organ_marker_coherence
Brain,Pancreas,-3.2257,96,promoter_accessibility+organ_marker_coherence
Brain,Liver,-3.2393,97,promoter_accessibility+organ_marker_coherence
Bladder,Spleen,-3.2645,98,promoter_accessibility+organ_marker_coherence
Gill,Kidney,-3.2715,99,promoter_accessibility+organ_marker_coherence
Intestine,Spleen,-3.2719,100,promoter_accessibility+organ_marker_coherence
Kidney,Spleen,-3.389,101,promoter_accessibility+organ_marker_coherence
GallBladder,Spleen,-3.4057,102,promoter_accessibility+organ_marker_coherence
Gill,Spleen,-3.5064,103,promoter_accessibility+organ_marker_coherence
Gill,Pancreas,-3.6107,104,promoter_accessibility+organ_marker_coherence
Pancreas,Spleen,-3.6316,105,promoter_accessibility+organ_marker_coherence
