step,source,destination,volume_uL,pipette,tip_policy
wash2_add:D3,reagents:A3,processing_plate:D3,180,p300_single_gen2,fresh_tip_keep_for_same_sample_remove
wash2_remove:D3,processing_plate:D3,liquid_waste:A1,180,p300_single_gen2,reuse_wash2_tip_same_sample
elution:D3,reagents:A4,processing_plate:D3,40,p300_single_gen2,fresh_tip
lysis:A4,reagents:A1,processing_plate:A4,80,p300_single_gen2,fresh_tip
beads:A4,reagents:A2,processing_plate:A4,120,p300_single_gen2,fresh_tip
supernatant:A4,processing_plate:A4,liquid_waste:A1,250,p300_single_gen2,fresh_tip
wash1_add:A4,reagents:A3,processing_plate:A4,180,p300_single_gen2,fresh_tip_keep_for_same_sample_remove
wash1_remove:A4,processing_plate:A4,liquid_waste:A1,180,p300_single_gen2,reuse_wash1_tip_same_sample
wash2_add:A4,reagents:A3,processing_plate:A4,180,p300_single_gen2,fresh_tip_keep_for_same_sample_remove
wash2_remove:A4,processing_plate:A4,liquid_waste:A1,180,p300_single_gen2,reuse_wash2_tip_same_sample
elution:A4,reagents:A4,processing_plate:A4,40,p300_single_gen2,fresh_tip
lysis:B4,reagents:A1,processing_plate:B4,80,p300_single_gen2,fresh_tip
beads:B4,reagents:A2,processing_plate:B4,120,p300_single_gen2,fresh_tip
supernatant:B4,processing_plate:B4,liquid_waste:A1,250,p300_single_gen2,fresh_tip
wash1_add:B4,reagents:A3,processing_plate:B4,180,p300_single_gen2,fresh_tip_keep_for_same_sample_remove
wash1_remove:B4,processing_plate:B4,liquid_waste:A1,180,p300_single_gen2,reuse_wash1_tip_same_sample
wash2_add:B4,reagents:A3,processing_plate:B4,180,p300_single_gen2,fresh_tip_keep_for_same_sample_remove
wash2_remove:B4,processing_plate:B4,liquid_waste:A1,180,p300_single_gen2,reuse_wash2_tip_same_sample
elution:B4,reagents:A4,processing_plate:B4,40,p300_single_gen2,fresh_tip
lysis:C4,reagents:A1,processing_plate:C4,80,p300_single_gen2,fresh_tip
beads:C4,reagents:A2,processing_plate:C4,120,p300_single_gen2,fresh_tip
supernatant:C4,processing_plate:C4,liquid_waste:A1,250,p300_single_gen2,fresh_tip
wash1_add:C4,reagents:A3,processing_plate:C4,180,p300_single_gen2,fresh_tip_keep_for_same_sample_remove
wash1_remove:C4,processing_plate:C4,liquid_waste:A1,180,p300_single_gen2,reuse_wash1_tip_same_sample
wash2_add:C4,reagents:A3,processing_plate:C4,180,p300_single_gen2,fresh_tip_keep_for_same_sample_remove
wash2_remove:C4,processing_plate:C4,liquid_waste:A1,180,p300_single_gen2,reuse_wash2_tip_same_sample
elution:C4,reagents:A4,processing_plate:C4,40,p300_single_gen2,fresh_tip
lysis:D4,reagents:A1,processing_plate:D4,80,p300_single_gen2,fresh_tip
beads:D4,reagents:A2,processing_plate:D4,120,p300_single_gen2,fresh_tip
supernatant:D4,processing_plate:D4,liquid_waste:A1,250,p300_single_gen2,fresh_tip
wash1_add:D4,reagents:A3,processing_plate:D4,180,p300_single_gen2,fresh_tip_keep_for_same_sample_remove
wash1_remove:D4,processing_plate:D4,liquid_waste:A1,180,p300_single_gen2,reuse_wash1_tip_same_sample
wash2_add:D4,reagents:A3,processing_plate:D4,180,p300_single_gen2,fresh_tip_keep_for_same_sample_remove
wash2_remove:D4,processing_plate:D4,liquid_waste:A1,180,p300_single_gen2,reuse_wash2_tip_same_sample
elution:D4,reagents:A4,processing_plate:D4,40,p300_single_gen2,fresh_tip
lysis:A5,reagents:A1,processing_plate:A5,80,p300_single_gen2,fresh_tip
beads:A5,reagents:A2,processing_plate:A5,120,p300_single_gen2,fresh_tip
supernatant:A5,processing_plate:A5,liquid_waste:A1,250,p300_single_gen2,fresh_tip
wash1_add:A5,reagents:A3,processing_plate:A5,180,p300_single_gen2,fresh_tip_keep_for_same_sample_remove
wash1_remove:A5,processing_plate:A5,liquid_waste:A1,180,p300_single_gen2,reuse_wash1_tip_same_sample
wash2_add:A5,reagents:A3,processing_plate:A5,180,p300_single_gen2,fresh_tip_keep_for_same_sample_remove
wash2_remove:A5,processing_plate:A5,liquid_waste:A1,180,p300_single_gen2,reuse_wash2_tip_same_sample
elution:A5,reagents:A4,processing_plate:A5,40,p300_single_gen2,fresh_tip
lysis:B5,reagents:A1,processing_plate:B5,80,p300_single_gen2,fresh_tip
beads:B5,reagents:A2,processing_plate:B5,120,p300_single_gen2,fresh_tip
supernatant:B5,processing_plate:B5,liquid_waste:A1,250,p300_single_gen2,fresh_tip
wash1_add:B5,reagents:A3,processing_plate:B5,180,p300_single_gen2,fresh_tip_keep_for_same_sample_remove
wash1_remove:B5,processing_plate:B5,liquid_waste:A1,180,p300_single_gen2,reuse_wash1_tip_same_sample
wash2_add:B5,reagents:A3,processing_plate:B5,180,p300_single_gen2,fresh_tip_keep_for_same_sample_remove
wash2_remove:B5,processing_plate:B5,liquid_waste:A1,180,p300_single_gen2,reuse_wash2_tip_same_sample
elution:B5,reagents:A4,processing_plate:B5,40,p300_single_gen2,fresh_tip
lysis:C5,reagents:A1,processing_plate:C5,80,p300_single_gen2,fresh_tip
beads:C5,reagents:A2,processing_plate:C5,120,p300_single_gen2,fresh_tip
supernatant:C5,processing_plate:C5,liquid_waste:A1,250,p300_single_gen2,fresh_tip
wash1_add:C5,reagents:A3,processing_plate:C5,180,p300_single_gen2,fresh_tip_keep_for_same_sample_remove
wash1_remove:C5,processing_plate:C5,liquid_waste:A1,180,p300_single_gen2,reuse_wash1_tip_same_sample
wash2_add:C5,reagents:A3,processing_plate:C5,180,p300_single_gen2,fresh_tip_keep_for_same_sample_remove
wash2_remove:C5,processing_plate:C5,liquid_waste:A1,180,p300_single_gen2,reuse_wash2_tip_same_sample
elution:C5,reagents:A4,processing_plate:C5,40,p300_single_gen2,fresh_tip
lysis:D5,reagents:A1,processing_plate:D5,80,p300_single_gen2,fresh_tip
beads:D5,reagents:A2,processing_plate:D5,120,p300_single_gen2,fresh_tip
supernatant:D5,processing_plate:D5,liquid_waste:A1,250,p300_single_gen2,fresh_tip
wash1_add:D5,reagents:A3,processing_plate:D5,180,p300_single_gen2,fresh_tip_keep_for_same_sample_remove
wash1_remove:D5,processing_plate:D5,liquid_waste:A1,180,p300_single_gen2,reuse_wash1_tip_same_sample
wash2_add:D5,reagents:A3,processing_plate:D5,180,p300_single_gen2,fresh_tip_keep_for_same_sample_remove
wash2_remove:D5,processing_plate:D5,liquid_waste:A1,180,p300_single_gen2,reuse_wash2_tip_same_sample
elution:D5,reagents:A4,processing_plate:D5,40,p300_single_gen2,fresh_tip
lysis:A6,reagents:A1,processing_plate:A6,80,p300_single_gen2,fresh_tip
beads:A6,reagents:A2,processing_plate:A6,120,p300_single_gen2,fresh_tip
supernatant:A6,processing_plate:A6,liquid_waste:A1,250,p300_single_gen2,fresh_tip
wash1_add:A6,reagents:A3,processing_plate:A6,180,p300_single_gen2,fresh_tip_keep_for_same_sample_remove
wash1_remove:A6,processing_plate:A6,liquid_waste:A1,180,p300_single_gen2,reuse_wash1_tip_same_sample
wash2_add:A6,reagents:A3,processing_plate:A6,180,p300_single_gen2,fresh_tip_keep_for_same_sample_remove
wash2_remove:A6,processing_plate:A6,liquid_waste:A1,180,p300_single_gen2,reuse_wash2_tip_same_sample
elution:A6,reagents:A4,processing_plate:A6,40,p300_single_gen2,fresh_tip
lysis:B6,reagents:A1,processing_plate:B6,80,p300_single_gen2,fresh_tip
beads:B6,reagents:A2,processing_plate:B6,120,p300_single_gen2,fresh_tip
supernatant:B6,processing_plate:B6,liquid_waste:A1,250,p300_single_gen2,fresh_tip
wash1_add:B6,reagents:A3,processing_plate:B6,180,p300_single_gen2,fresh_tip_keep_for_same_sample_remove
wash1_remove:B6,processing_plate:B6,liquid_waste:A1,180,p300_single_gen2,reuse_wash1_tip_same_sample
wash2_add:B6,reagents:A3,processing_plate:B6,180,p300_single_gen2,fresh_tip_keep_for_same_sample_remove
wash2_remove:B6,processing_plate:B6,liquid_waste:A1,180,p300_single_gen2,reuse_wash2_tip_same_sample
elution:B6,reagents:A4,processing_plate:B6,40,p300_single_gen2,fresh_tip
lysis:C6,reagents:A1,processing_plate:C6,80,p300_single_gen2,fresh_tip
beads:C6,reagents:A2,processing_plate:C6,120,p300_single_gen2,fresh_tip
supernatant:C6,processing_plate:C6,liquid_waste:A1,250,p300_single_gen2,fresh_tip
wash1_add:C6,reagents:A3,processing_plate:C6,180,p300_single_gen2,fresh_tip_keep_for_same_sample_remove
wash1_remove:C6,processing_plate:C6,liquid_waste:A1,180,p300_single_gen2,reuse_wash1_tip_same_sample
wash2_add:C6,reagents:A3,processing_plate:C6,180,p300_single_gen2,fresh_tip_keep_for_same_sample_remove
wash2_remove:C6,processing_plate:C6,liquid_waste:A1,180,p300_single_gen2,reuse_wash2_tip_same_sample
elution:C6,reagents:A4,processing_plate:C6,40,p300_single_gen2,fresh_tip
lysis:D6,reagents:A1,processing_plate:D6,80,p300_single_gen2,fresh_tip
beads:D6,reagents:A2,processing_plate:D6,120,p300_single_gen2,fresh_tip
supernatant:D6,processing_plate:D6,liquid_waste:A1,250,p300_single_gen2,fresh_tip
wash1_add:D6,reagents:A3,processing_plate:D6,180,p300_single_gen2,fresh_tip_keep_for_same_sample_remove
wash1_remove:D6,processing_plate:D6,liquid_waste:A1,180,p300_single_gen2,reuse_wash1_tip_same_sample
wash2_add:D6,reagents:A3,processing_plate:D6,180,p300_single_gen2,fresh_tip_keep_for_same_sample_remove
wash2_remove:D6,processing_plate:D6,liquid_waste:A1,180,p300_single_gen2,reuse_wash2_tip_same_sample
elution:D6,reagents:A4,processing_plate:D6,40,p300_single_gen2,fresh_tip
