organ_a,organ_b,swap_score,rank,evidence_type
Heart,Lung,-3.14045039,96,TSS promoter CPM reciprocal marker-coherence gain
Lung,Prostate,-3.16156486,97,TSS promoter CPM reciprocal marker-coherence gain
Pancreas,Prostate,-3.16915387,98,TSS promoter CPM reciprocal marker-coherence gain
Intestine,Pancreas,-3.23241021,99,TSS promoter CPM reciprocal marker-coherence gain
Pancreas,Spleen,-3.38041085,100,TSS promoter CPM reciprocal marker-coherence gain
Intestine,Lung,-3.48332029,101,TSS promoter CPM reciprocal marker-coherence gain
Liver,Pancreas,-3.49990214,102,TSS promoter CPM reciprocal marker-coherence gain
Lung,Spleen,-3.56154872,103,TSS promoter CPM reciprocal marker-coherence gain
Liver,Lung,-3.85171748,104,TSS promoter CPM reciprocal marker-coherence gain
Lung,Pancreas,-4.75750393,105,TSS promoter CPM reciprocal marker-coherence gain
