organ_a,organ_b,swap_score,rank,evidence_type
Liver,Spleen,-1.95079577,74,library-normalized promoter-marker coherence gain
Pancreas,Stomach,-2.00348661,75,library-normalized promoter-marker coherence gain
Gill,Liver,-2.02072883,76,library-normalized promoter-marker coherence gain
Brain,Liver,-2.10270776,77,library-normalized promoter-marker coherence gain
GallBladder,Pancreas,-2.18317577,78,library-normalized promoter-marker coherence gain
Lung,Stomach,-2.23897513,79,library-normalized promoter-marker coherence gain
Kidney,Pancreas,-2.24168996,80,library-normalized promoter-marker coherence gain
Liver,Prostate,-2.27089108,81,library-normalized promoter-marker coherence gain
Cloaca,Pancreas,-2.35827699,82,library-normalized promoter-marker coherence gain
Intestine,Spleen,-2.35999426,83,library-normalized promoter-marker coherence gain
GallBladder,Lung,-2.39109047,84,library-normalized promoter-marker coherence gain
Bladder,Pancreas,-2.48320552,85,library-normalized promoter-marker coherence gain
Limb,Lung,-2.51991928,86,library-normalized promoter-marker coherence gain
Heart,Pancreas,-2.52350656,87,library-normalized promoter-marker coherence gain
Gill,Lung,-2.56665131,88,library-normalized promoter-marker coherence gain
Cloaca,Lung,-2.56734677,89,library-normalized promoter-marker coherence gain
Kidney,Lung,-2.70087242,90,library-normalized promoter-marker coherence gain
Limb,Pancreas,-2.75831688,91,library-normalized promoter-marker coherence gain
Brain,Pancreas,-2.77763233,92,library-normalized promoter-marker coherence gain
Bladder,Lung,-2.92246213,93,library-normalized promoter-marker coherence gain
Brain,Lung,-2.98453833,94,library-normalized promoter-marker coherence gain
Gill,Pancreas,-3.06662027,95,library-normalized promoter-marker coherence gain
Heart,Lung,-3.14045039,96,library-normalized promoter-marker coherence gain
Lung,Prostate,-3.16156486,97,library-normalized promoter-marker coherence gain
Pancreas,Prostate,-3.16915387,98,library-normalized promoter-marker coherence gain
Intestine,Pancreas,-3.23241021,99,library-normalized promoter-marker coherence gain
Pancreas,Spleen,-3.38041085,100,library-normalized promoter-marker coherence gain
Intestine,Lung,-3.48332029,101,library-normalized promoter-marker coherence gain
Liver,Pancreas,-3.49990214,102,library-normalized promoter-marker coherence gain
Lung,Spleen,-3.56154872,103,library-normalized promoter-marker coherence gain
Liver,Lung,-3.85171748,104,library-normalized promoter-marker coherence gain
Lung,Pancreas,-4.75750393,105,library-normalized promoter-marker coherence gain
