organ_a,organ_b,swap_score,rank,evidence_type
Spleen,Stomach,-0.898200,36,promoter_accessibility+marker_coherence
Brain,Stomach,-0.954600,37,promoter_accessibility+marker_coherence
Gill,Intestine,-1.000000,38,promoter_accessibility+marker_coherence
Bladder,Lung,-1.020000,39,promoter_accessibility+marker_coherence
Liver,Stomach,-1.033700,40,promoter_accessibility+marker_coherence
Bladder,Heart,-1.060000,41,promoter_accessibility+marker_coherence
Brain,Cloaca,-1.080000,42,promoter_accessibility+marker_coherence
Heart,Prostate,-1.089100,43,promoter_accessibility+marker_coherence
Kidney,Stomach,-1.107300,44,promoter_accessibility+marker_coherence
Kidney,Prostate,-1.129100,45,promoter_accessibility+marker_coherence
GallBladder,Limb,-1.130000,46,promoter_accessibility+marker_coherence
Gill,Liver,-1.140000,47,promoter_accessibility+marker_coherence
GallBladder,Liver,-1.200000,48,promoter_accessibility+marker_coherence
Cloaca,Pancreas,-1.210000,49,promoter_accessibility+marker_coherence
Limb,Lung,-1.250000,50,promoter_accessibility+marker_coherence
Intestine,Limb,-1.260000,51,promoter_accessibility+marker_coherence
Liver,Prostate,-1.288200,52,promoter_accessibility+marker_coherence
Gill,Pancreas,-1.290000,53,promoter_accessibility+marker_coherence
Bladder,Kidney,-1.300000,54,promoter_accessibility+marker_coherence
Brain,Gill,-1.340000,55,promoter_accessibility+marker_coherence
Gill,Spleen,-1.360000,56,promoter_accessibility+marker_coherence
Intestine,Prostate,-1.392700,57,promoter_accessibility+marker_coherence
Prostate,Spleen,-1.418200,58,promoter_accessibility+marker_coherence
Gill,Kidney,-1.450000,59,promoter_accessibility+marker_coherence
Cloaca,Kidney,-1.550000,60,promoter_accessibility+marker_coherence
GallBladder,Lung,-1.560000,61,promoter_accessibility+marker_coherence
Cloaca,Liver,-1.580000,62,promoter_accessibility+marker_coherence
Cloaca,Spleen,-1.590000,63,promoter_accessibility+marker_coherence
Bladder,Pancreas,-1.600000,64,promoter_accessibility+marker_coherence
GallBladder,Heart,-1.630000,65,promoter_accessibility+marker_coherence
Pancreas,Prostate,-1.652700,66,promoter_accessibility+marker_coherence
Brain,Prostate,-1.706400,67,promoter_accessibility+marker_coherence
Heart,Lung,-1.770000,68,promoter_accessibility+marker_coherence
Limb,Pancreas,-1.820000,69,promoter_accessibility+marker_coherence
Intestine,Liver,-1.880000,70,promoter_accessibility+marker_coherence
Heart,Spleen,-1.890000,71,promoter_accessibility+marker_coherence
Kidney,Pancreas,-1.980000,72,promoter_accessibility+marker_coherence
Bladder,Liver,-1.990000,73,promoter_accessibility+marker_coherence
Heart,Intestine,-2.010000,74,promoter_accessibility+marker_coherence
Heart,Kidney,-2.040000,75,promoter_accessibility+marker_coherence
Limb,Liver,-2.040000,76,promoter_accessibility+marker_coherence
Brain,Limb,-2.060000,77,promoter_accessibility+marker_coherence
Intestine,Pancreas,-2.100000,78,promoter_accessibility+marker_coherence
Liver,Pancreas,-2.100000,79,promoter_accessibility+marker_coherence
Kidney,Liver,-2.110000,80,promoter_accessibility+marker_coherence
Intestine,Lung,-2.120000,81,promoter_accessibility+marker_coherence
Limb,Spleen,-2.150000,82,promoter_accessibility+marker_coherence
Brain,GallBladder,-2.190000,83,promoter_accessibility+marker_coherence
Bladder,Brain,-2.260000,84,promoter_accessibility+marker_coherence
Brain,Heart,-2.270000,85,promoter_accessibility+marker_coherence
Liver,Lung,-2.310000,86,promoter_accessibility+marker_coherence
Bladder,Spleen,-2.330000,87,promoter_accessibility+marker_coherence
Brain,Pancreas,-2.390000,88,promoter_accessibility+marker_coherence
Heart,Pancreas,-2.410000,89,promoter_accessibility+marker_coherence
Kidney,Limb,-2.410000,90,promoter_accessibility+marker_coherence
Lung,Pancreas,-2.420000,91,promoter_accessibility+marker_coherence
Heart,Liver,-2.430000,92,promoter_accessibility+marker_coherence
Intestine,Kidney,-2.500000,93,promoter_accessibility+marker_coherence
Kidney,Lung,-2.530000,94,promoter_accessibility+marker_coherence
Lung,Spleen,-2.680000,95,promoter_accessibility+marker_coherence
GallBladder,Spleen,-2.730000,96,promoter_accessibility+marker_coherence
Brain,Intestine,-2.810000,97,promoter_accessibility+marker_coherence
Liver,Spleen,-2.870000,98,promoter_accessibility+marker_coherence
Brain,Lung,-2.890000,99,promoter_accessibility+marker_coherence
Brain,Kidney,-3.030000,100,promoter_accessibility+marker_coherence
Kidney,Spleen,-3.300000,101,promoter_accessibility+marker_coherence
Pancreas,Spleen,-3.340000,102,promoter_accessibility+marker_coherence
Intestine,Spleen,-3.390000,103,promoter_accessibility+marker_coherence
Brain,Liver,-3.530000,104,promoter_accessibility+marker_coherence
Brain,Spleen,-3.690000,105,promoter_accessibility+marker_coherence
